ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,phase,domain,axial_A,shell_bfac
2966,18.599,0.3888,0.4898,0.3061,0.3673,crystalline,0,-2.754,20.0
2967,23.358,0.0797,0.1351,0.0000,0.1081,amorphous,0,9.106,30.0
2968,25.356,0.1179,0.2051,0.0000,0.1538,intermediate,0,11.638,30.0
2969,29.385,0.2620,0.4400,0.0000,0.3600,crystalline,0,23.244,30.0
2970,26.494,0.2600,0.4000,0.0000,0.4000,crystalline,0,24.794,30.0
2971,22.930,0.3262,0.4048,0.2619,0.3095,crystalline,0,2.415,30.0
2972,24.262,0.3338,0.3514,0.3243,0.3243,crystalline,0,-2.835,30.0
2973,21.131,0.2577,0.3590,0.1795,0.2308,crystalline,0,-7.573,30.0
2974,29.367,0.2845,0.5172,0.0000,0.3448,crystalline,0,11.318,30.0
2975,27.525,0.1593,0.2963,0.0000,0.1852,intermediate,0,14.450,30.0
2976,19.299,0.3284,0.4545,0.2500,0.2727,crystalline,0,-10.081,20.0
2977,20.170,0.3888,0.4898,0.3061,0.3673,crystalline,0,-1.267,30.0
2978,19.038,0.3888,0.4898,0.3061,0.3673,crystalline,0,-8.148,20.0
2979,24.383,0.1608,0.2973,0.0000,0.1892,intermediate,0,18.281,30.0
2980,25.683,0.1074,0.2059,0.0000,0.1176,amorphous,0,-2.712,30.0
2981,21.030,0.3512,0.4524,0.2857,0.3095,crystalline,0,-7.993,30.0
2982,23.797,0.2670,0.3636,0.2045,0.2273,crystalline,0,1.799,30.0
2983,29.861,0.2690,0.5238,0.0000,0.2857,crystalline,0,-3.670,30.0
2984,26.711,0.2339,0.4194,0.0000,0.2903,intermediate,0,13.425,30.0
2985,29.032,0.1867,0.3333,0.0000,0.2333,intermediate,0,8.348,30.0
2986,20.440,0.2721,0.3721,0.1860,0.2558,crystalline,0,-10.740,30.0
2987,29.142,0.2714,0.5000,0.0000,0.3214,crystalline,0,7.230,30.0
2988,26.595,0.2125,0.3929,0.0000,0.2500,intermediate,0,-7.811,30.0
2989,23.187,0.1638,0.2750,0.0000,0.2250,intermediate,0,14.438,30.0
2990,16.929,0.3500,0.4565,0.2826,0.3043,crystalline,0,-9.476,20.0
2991,21.219,0.4198,0.5581,0.3023,0.3953,crystalline,0,-8.738,30.0
2992,28.041,0.3448,0.4483,0.2414,0.3448,crystalline,0,-1.193,30.0
2993,24.442,0.3244,0.4103,0.2308,0.3333,crystalline,0,2.977,30.0
2994,21.071,0.3969,0.5000,0.3125,0.3750,crystalline,0,-0.997,30.0
2995,23.863,0.3568,0.4545,0.2727,0.3409,crystalline,0,2.660,30.0
2996,30.987,0.2058,0.4231,0.0000,0.1923,intermediate,0,5.152,40.0
2997,27.694,0.1919,0.3548,0.0000,0.2258,intermediate,0,5.977,30.0
2998,20.069,0.3500,0.4545,0.2727,0.3182,crystalline,0,-11.361,30.0
2999,26.925,0.0894,0.1515,0.0000,0.1212,intermediate,0,-1.608,30.0
3000,26.377,0.1729,0.2571,0.1143,0.1429,intermediate,0,5.412,30.0
3001,30.529,0.2875,0.5000,0.0000,0.3750,crystalline,0,34.792,40.0
3002,30.888,0.2818,0.4545,0.0000,0.4091,crystalline,0,38.346,40.0
3003,18.772,0.4341,0.5682,0.3409,0.3864,crystalline,0,-7.735,20.0
3004,32.531,0.3022,0.5652,0.0000,0.3478,crystalline,0,10.589,40.0
3005,27.727,0.2021,0.2917,0.0000,0.3333,intermediate,0,0.112,30.0
3006,23.738,0.3262,0.3810,0.2857,0.3095,crystalline,0,17.538,30.0
3007,20.925,0.1103,0.2051,0.0000,0.1282,intermediate,0,-7.785,30.0
3008,24.340,0.2619,0.3333,0.1905,0.2619,crystalline,0,2.587,30.0
3009,25.533,0.3656,0.5000,0.2500,0.3438,crystalline,0,-5.531,30.0
3010,27.440,0.1500,0.2727,0.0000,0.1818,intermediate,0,-2.055,30.0
3011,24.874,0.1768,0.3171,0.0000,0.2195,intermediate,0,-2.850,30.0
3012,19.845,0.3422,0.4667,0.2444,0.3111,crystalline,0,-10.801,20.0
3013,21.238,0.4213,0.5532,0.3404,0.3617,crystalline,0,-10.623,30.0
3014,26.569,0.4030,0.4545,0.3333,0.4242,crystalline,0,25.436,30.0
3015,19.070,0.4053,0.5106,0.3191,0.3830,crystalline,0,-9.636,20.0
3016,26.007,0.1361,0.2222,0.0000,0.1944,intermediate,0,14.254,30.0
3017,16.766,0.4213,0.5532,0.3404,0.3617,crystalline,0,-6.587,20.0
3018,25.582,0.2941,0.3529,0.2353,0.2941,crystalline,0,-11.011,30.0
3019,25.567,0.2967,0.3556,0.2444,0.2889,crystalline,0,-4.554,30.0
3020,30.361,0.2479,0.4583,0.0000,0.2917,intermediate,0,1.309,40.0
3021,24.370,0.3961,0.4737,0.3421,0.3684,crystalline,0,-11.650,30.0
3022,25.755,0.1708,0.2500,0.0000,0.2778,intermediate,0,-3.517,30.0
3023,21.342,0.3808,0.5000,0.3077,0.3269,crystalline,0,-2.337,30.0
3024,28.673,0.1405,0.2381,0.0000,0.1905,intermediate,0,13.754,30.0
3025,27.359,0.1466,0.2414,0.0000,0.2069,intermediate,0,18.523,30.0
3026,23.141,0.3436,0.4359,0.2821,0.3077,crystalline,0,-5.944,30.0
3027,31.561,0.1262,0.2381,0.0000,0.1429,intermediate,0,2.239,40.0
3028,28.300,0.1650,0.3000,0.0000,0.2000,intermediate,0,3.333,30.0
3029,30.977,0.2680,0.5600,0.0000,0.2400,crystalline,0,4.966,40.0
3030,23.943,0.1405,0.2381,0.0000,0.1905,intermediate,0,14.069,30.0
3031,30.194,0.2674,0.3913,0.0000,0.4348,crystalline,0,18.851,40.0
3032,24.559,0.2474,0.2895,0.2368,0.2105,intermediate,0,1.607,30.0
3033,26.143,0.2741,0.5172,0.0000,0.3103,crystalline,0,-7.184,30.0
3034,16.631,0.4213,0.5532,0.3404,0.3617,crystalline,0,-6.290,20.0
3035,14.957,0.4233,0.5333,0.3333,0.4000,crystalline,0,-7.915,20.0
3036,22.139,0.3568,0.4773,0.2500,0.3409,crystalline,0,-1.433,30.0
3037,23.577,0.3036,0.4048,0.2381,0.2619,crystalline,0,2.998,30.0
3038,27.275,0.2853,0.3529,0.2353,0.2647,crystalline,0,-10.600,30.0
3039,30.838,0.1472,0.2778,0.0000,0.1667,intermediate,0,1.837,40.0
3040,16.370,0.4304,0.5652,0.3478,0.3696,crystalline,0,-8.327,20.0
3041,29.751,0.2917,0.3333,0.2500,0.2917,crystalline,0,1.154,30.0
3042,25.357,0.1716,0.2162,0.1351,0.1622,intermediate,0,3.515,30.0
3043,29.564,0.2250,0.4286,0.0000,0.2500,intermediate,0,27.040,30.0
3044,21.420,0.2523,0.4419,0.0000,0.3256,crystalline,0,-3.037,30.0
3045,21.114,0.2133,0.4000,0.0000,0.2444,intermediate,0,-9.485,30.0
3046,32.335,0.2690,0.5238,0.0000,0.2857,crystalline,0,8.259,40.0
3047,25.914,0.3514,0.4595,0.2432,0.3514,crystalline,0,3.256,30.0
3048,28.669,0.2931,0.4828,0.0000,0.4138,crystalline,0,14.221,30.0
3049,24.371,0.1592,0.2105,0.1316,0.1316,intermediate,0,4.585,30.0
3050,23.125,0.2937,0.3750,0.2500,0.2500,crystalline,0,-12.052,30.0
3051,26.819,0.1788,0.3030,0.0000,0.2424,intermediate,0,4.346,30.0
3052,24.675,0.3742,0.4848,0.2727,0.3636,crystalline,0,-6.244,30.0
3053,24.550,0.1837,0.2500,0.1250,0.1750,intermediate,0,3.971,30.0
3054,31.956,0.0975,0.1500,0.0000,0.1500,intermediate,0,-0.729,40.0
3055,27.934,0.0750,0.1364,0.0000,0.0909,amorphous,0,8.496,30.0
3056,16.860,0.4053,0.5106,0.3191,0.3830,crystalline,0,-8.220,20.0
3057,24.850,0.2384,0.2791,0.1628,0.2791,intermediate,0,-2.696,30.0
3058,24.972,0.4000,0.4857,0.3143,0.4000,crystalline,0,-11.355,30.0
3059,18.639,0.4125,0.5417,0.3333,0.3542,crystalline,0,-6.573,20.0
3060,27.124,0.3113,0.3871,0.2258,0.3226,crystalline,0,4.558,30.0
3061,31.628,0.2457,0.4783,0.0000,0.2609,intermediate,0,2.298,40.0
3062,29.324,0.3865,0.4615,0.3462,0.3462,crystalline,0,6.710,30.0
3063,24.595,0.1476,0.2381,0.0000,0.2143,intermediate,0,9.206,30.0
3064,29.510,0.3143,0.5714,0.0000,0.3810,crystalline,0,-6.474,30.0
3065,24.292,0.3935,0.5217,0.3043,0.3478,crystalline,0,-0.570,30.0
3066,29.429,0.1276,0.2759,0.0000,0.1034,amorphous,0,0.561,30.0
3067,28.079,0.1387,0.2581,0.0000,0.1613,intermediate,0,4.967,30.0
3068,28.296,0.2724,0.4828,0.0000,0.3448,crystalline,0,30.565,30.0
3069,30.035,0.1852,0.3704,0.0000,0.1852,intermediate,0,7.472,40.0
3070,18.840,0.4330,0.5455,0.3409,0.4091,crystalline,0,-7.015,20.0
3071,20.824,0.4214,0.5476,0.3095,0.4048,crystalline,0,-9.360,30.0
3072,31.752,0.2848,0.4783,0.0000,0.3913,crystalline,0,12.188,40.0
3073,20.785,0.3960,0.5200,0.3200,0.3400,crystalline,0,-7.146,30.0
3074,28.481,0.2962,0.3846,0.2308,0.2692,crystalline,0,-1.892,30.0
3075,30.364,0.1579,0.3158,0.0000,0.1579,intermediate,0,-8.296,40.0
3076,26.214,0.2443,0.4286,0.0000,0.3143,intermediate,0,22.826,30.0
3077,26.689,0.0943,0.1714,0.0000,0.1143,amorphous,0,7.407,30.0
3078,28.164,0.3577,0.3846,0.3077,0.3846,crystalline,0,-1.608,30.0
3079,29.778,0.1595,0.2381,0.0952,0.1429,intermediate,0,-9.324,30.0
3080,24.141,0.4076,0.5217,0.3261,0.3696,crystalline,0,-2.582,30.0
3081,25.843,0.0667,0.1026,0.0000,0.1026,amorphous,0,6.634,30.0
3082,24.394,0.3722,0.4889,0.2889,0.3333,crystalline,0,-3.140,30.0
3083,24.541,0.1429,0.2857,0.0000,0.1429,intermediate,0,-11.239,30.0
3084,29.787,0.1375,0.2500,0.0000,0.1667,intermediate,0,22.901,30.0
3085,21.845,0.1892,0.2432,0.1351,0.1892,intermediate,0,-10.379,30.0
3086,14.911,0.3663,0.4651,0.3023,0.3256,crystalline,0,-12.701,20.0
3087,24.586,0.3262,0.4000,0.2750,0.3000,crystalline,0,-8.584,30.0
3088,26.377,0.2250,0.3750,0.0000,0.3125,intermediate,0,-9.570,30.0
3089,27.405,0.1547,0.2812,0.0000,0.1875,intermediate,0,8.705,30.0
3090,29.957,0.1300,0.2000,0.0000,0.2000,intermediate,0,-5.789,30.0
3091,26.412,0.2013,0.3333,0.0000,0.2821,intermediate,0,12.549,30.0
3092,28.496,0.2500,0.4000,0.0000,0.3667,intermediate,0,20.456,30.0
3093,28.329,0.2317,0.4333,0.0000,0.2667,intermediate,0,27.138,30.0
3094,17.062,0.4141,0.5217,0.3261,0.3913,crystalline,0,-7.625,20.0
3095,20.050,0.3820,0.5000,0.3000,0.3400,crystalline,0,-8.895,30.0
3096,27.310,0.3767,0.4000,0.3333,0.4000,crystalline,0,26.341,30.0
3097,22.306,0.2465,0.4651,0.0000,0.2791,intermediate,0,-10.345,30.0
3098,30.992,0.2139,0.2778,0.0000,0.3889,intermediate,0,1.464,40.0
3099,27.560,0.0743,0.1143,0.0000,0.1143,amorphous,0,5.339,30.0
3100,25.247,0.2791,0.3488,0.2093,0.2791,crystalline,0,18.502,30.0
3101,16.911,0.4293,0.5435,0.3478,0.3913,crystalline,0,-13.600,20.0
3102,30.757,0.2386,0.4091,0.0000,0.3182,intermediate,0,34.954,40.0
3103,14.313,0.4213,0.5532,0.3404,0.3617,crystalline,0,-12.611,20.0
3104,28.206,0.1750,0.3000,0.0000,0.2333,intermediate,0,11.640,30.0
3105,21.759,0.3907,0.5116,0.3256,0.3256,crystalline,0,-2.992,30.0
3106,28.695,0.1241,0.2069,0.0000,0.1724,intermediate,0,-5.488,30.0
3107,27.818,0.3833,0.4242,0.3333,0.3939,crystalline,0,21.078,30.0
3108,19.484,0.4141,0.5217,0.3261,0.3913,crystalline,0,-6.142,20.0
3109,19.575,0.4304,0.5652,0.3478,0.3696,crystalline,0,-8.637,20.0
3110,16.729,0.4041,0.5306,0.3265,0.3469,crystalline,0,-13.189,20.0
3111,26.097,0.1250,0.2059,0.0000,0.1765,intermediate,0,-4.179,30.0
3112,25.929,0.3175,0.3750,0.2750,0.3000,crystalline,0,13.202,30.0
3113,16.413,0.4362,0.5745,0.3617,0.3617,crystalline,0,-12.905,20.0
3114,25.172,0.1366,0.2439,0.0000,0.1707,intermediate,0,9.812,30.0
3115,27.079,0.3563,0.4688,0.2812,0.3125,crystalline,0,-4.549,30.0
3116,30.970,0.2500,0.4400,0.0000,0.3200,crystalline,0,19.532,40.0
3117,26.479,0.1000,0.1379,0.0000,0.1724,intermediate,0,-4.974,30.0
3118,28.681,0.1643,0.2857,0.0000,0.2143,intermediate,0,11.036,30.0
3119,29.144,0.0765,0.1176,0.0000,0.1176,amorphous,0,-10.505,30.0
3120,25.355,0.3000,0.3846,0.2308,0.2821,crystalline,0,-1.508,30.0
3121,23.787,0.1872,0.2051,0.1538,0.2051,intermediate,0,-7.979,30.0
3122,21.805,0.2265,0.3235,0.1471,0.2059,intermediate,0,-11.845,30.0
3123,27.657,0.1314,0.2286,0.0000,0.1714,intermediate,0,1.129,30.0
3124,24.879,0.2475,0.4500,0.0000,0.3000,intermediate,0,-0.832,30.0
3125,29.383,0.1904,0.3462,0.0000,0.2308,intermediate,0,-10.290,30.0
3126,26.497,0.2423,0.4615,0.0000,0.2692,intermediate,0,-9.957,30.0
3127,28.661,0.2362,0.3793,0.0000,0.3448,intermediate,0,9.561,30.0
3128,25.585,0.1986,0.2703,0.1351,0.1892,intermediate,0,4.483,30.0
3129,27.423,0.2403,0.3056,0.1667,0.2500,intermediate,0,4.749,30.0
3130,31.158,0.3783,0.5217,0.2609,0.3478,crystalline,0,7.529,40.0
3131,30.157,0.2479,0.4583,0.0000,0.2917,intermediate,0,-4.125,40.0
3132,24.941,0.3687,0.4583,0.2917,0.3542,crystalline,0,-1.890,30.0
3133,24.500,0.3344,0.4688,0.2188,0.3125,crystalline,0,-9.031,30.0
3134,32.489,0.2789,0.5263,0.0000,0.3158,crystalline,0,9.216,40.0
3135,31.340,0.2263,0.4211,0.0000,0.2632,intermediate,0,31.347,40.0
3136,25.288,0.3756,0.4359,0.3077,0.3846,crystalline,0,-10.219,30.0
3137,26.278,0.2000,0.3077,0.0000,0.3077,intermediate,0,-3.591,30.0
3138,24.466,0.2655,0.4138,0.1379,0.2414,crystalline,0,-10.720,30.0
3139,32.320,0.2325,0.4500,0.0000,0.2500,intermediate,0,4.683,40.0
3140,20.425,0.4233,0.5333,0.3333,0.4000,crystalline,0,-14.176,30.0
3141,30.172,0.2650,0.5000,0.0000,0.3000,crystalline,0,-5.810,40.0
3142,20.001,0.4233,0.5333,0.3333,0.4000,crystalline,0,-13.907,20.0
3143,27.818,0.0897,0.1379,0.0000,0.1379,intermediate,0,-1.210,30.0
3144,28.574,0.1635,0.2692,0.0000,0.2308,intermediate,0,14.825,30.0
3145,21.556,0.3870,0.5000,0.3261,0.3261,crystalline,0,-14.328,30.0
3146,24.404,0.2776,0.5000,0.0000,0.3421,crystalline,0,-8.064,30.0
3147,27.456,0.3767,0.4000,0.3333,0.4000,crystalline,0,22.016,30.0
3148,26.458,0.1984,0.2812,0.1250,0.1875,intermediate,0,0.120,30.0
3149,26.944,0.1562,0.1875,0.1250,0.1562,intermediate,0,0.677,30.0
3150,16.187,0.4115,0.5208,0.3333,0.3750,crystalline,0,-12.442,20.0
3151,26.256,0.1735,0.2941,0.0000,0.2353,intermediate,0,-1.786,30.0
3152,23.679,0.3595,0.5000,0.2619,0.3095,crystalline,0,-2.004,30.0
3153,15.660,0.4430,0.5581,0.3488,0.4186,crystalline,0,-12.179,20.0
3154,28.187,0.2250,0.3462,0.0000,0.3462,intermediate,0,-3.596,30.0
3155,25.650,0.3121,0.3333,0.2727,0.3333,crystalline,0,-6.629,30.0
3156,25.420,0.3162,0.3750,0.2500,0.3250,crystalline,0,-7.851,30.0
3157,27.885,0.1353,0.2353,0.0000,0.1765,intermediate,0,10.627,30.0
3158,28.621,0.2172,0.4138,0.0000,0.2414,intermediate,0,19.268,30.0
3159,26.529,0.2658,0.3684,0.2105,0.2105,crystalline,0,3.409,30.0
3160,30.454,0.2423,0.4615,0.0000,0.2692,intermediate,0,1.979,40.0
