ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac
31,8.098,0.0103,0.0000,0.0294,0.0000,0.1940,0.4108,0,intermediate,0,-9.344,18.0
32,8.904,0.0247,0.0380,0.0000,0.0380,0.1667,0.4108,0,intermediate,0,15.481,18.0
33,7.947,0.0158,0.0000,0.0000,0.0526,0.2162,0.4733,0,intermediate,0,-17.528,18.0
34,6.539,0.0000,0.0000,0.0000,0.0000,0.2951,0.5400,0,amorphous,0,-2.002,18.0
35,6.327,0.0287,0.0441,0.0000,0.0441,0.1791,0.3900,0,intermediate,0,-5.886,18.0
36,5.607,0.0247,0.0380,0.0000,0.0380,0.2692,0.5438,0,intermediate,0,15.672,18.0
37,5.089,0.0246,0.0000,0.0308,0.0462,0.2222,0.4443,0,intermediate,0,-1.030,18.0
38,6.449,0.0113,0.0000,0.0323,0.0000,0.1379,0.3622,0,intermediate,0,24.860,18.0
39,4.551,0.0152,0.0000,0.0435,0.0000,0.2090,0.5084,0,intermediate,0,3.264,18.0
40,9.474,0.0250,0.0385,0.0000,0.0385,0.1948,0.4178,0,intermediate,0,17.703,18.0
41,9.193,0.0257,0.0395,0.0000,0.0395,0.2133,0.4600,0,intermediate,0,-6.628,18.0
42,4.814,0.0097,0.0000,0.0278,0.0000,0.1857,0.4053,0,intermediate,0,6.978,18.0
43,7.340,0.0260,0.0400,0.0000,0.0400,0.1096,0.2909,0,intermediate,0,13.035,18.0
44,6.992,0.0100,0.0000,0.0286,0.0000,0.2609,0.5150,0,intermediate,0,-13.188,18.0
45,8.234,0.0286,0.0408,0.0408,0.0000,0.1458,0.3521,0,intermediate,0,26.745,18.0
46,8.768,0.0146,0.0417,0.0000,0.0000,0.2714,0.5278,0,intermediate,0,-8.605,22.0
47,7.680,0.0115,0.0000,0.0328,0.0000,0.1667,0.4032,0,amorphous,0,-15.810,22.0
48,3.858,0.0138,0.0395,0.0000,0.0000,0.1622,0.4191,0,amorphous,0,9.311,22.0
