ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac,strand_id,seq_next_d,hit_384,hit_629,p_bound
113,8.008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,43.151,20.0,-1,,0,0,0
114,8.420,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,1,amorphous,0,37.829,20.0,-1,,0,0,0
115,6.863,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0,amorphous,0,34.132,20.0,-1,,0,1,1
116,4.368,0.0000,0.0000,0.0000,0.0000,0.4000,0.5000,1,amorphous,0,34.672,20.0,-1,,1,0,1
117,7.309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,34.393,20.0,-1,,0,0,1
118,7.127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,24.662,20.0,-1,,0,0,1
119,4.467,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,1,amorphous,0,18.331,20.0,-1,,0,1,1
120,10.187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,21.624,20.0,-1,,0,0,0
121,11.252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,16.634,20.0,-1,,0,0,0
122,8.238,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,0,amorphous,0,16.396,20.0,-1,,0,0,0
123,9.876,0.0000,0.0000,0.0000,0.0000,0.2500,0.3333,0,amorphous,0,7.619,20.0,-1,,0,0,0
124,10.175,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,6.756,20.0,-1,,0,0,0
125,11.596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,12.181,20.0,-1,,0,0,0
126,10.033,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,12.715,20.0,-1,,0,0,0
127,8.485,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,amorphous,0,4.151,20.0,-1,,0,0,0
128,8.215,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,amorphous,0,3.167,20.0,-1,,0,0,0
129,8.281,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,14.725,20.0,-1,,0,0,0
130,9.829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,12.613,20.0,-1,,0,0,0
131,6.736,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,1,amorphous,0,12.317,20.0,-1,,1,0,1
